T.G. Striker | T.G. Trident Launcher
T.G. Tank Larva | T.G. Star Guardian
Thousand-Eyes Idol | Relinquished Anima
Predaplant Chlamydosundew | Starving Venom Fusion Dragon
Summoned Skull | Beckoned Skull Archfiend
Proto-Cyber Dragon | Chimeratech Megafleet Dragon
Marauding Captain | Gaia Saber, the Lightning Shadow
Dotscaper | Link Disciple
Catche Eve L2 | Talkback Lancer
Performage Trick Clown | Performage Trapeze Magician
Protron | Linkuriboh
Bitron | Link Spider
Link Infra-Flier | Powercode Talker
Unknown Synchron | Junk Speeder
Rokket Synchron | Borreload Savage Dragon
Cyberse Synchron | Cyberse Quantum Dragon
KagetoKage | King of the Feral Imps
Blackwing - Zephyros the Elite | Raidraptor - Force Strix
Linkbelt Wall Dragon | Topologic Trisbaena
Performage Hat Tricker | Evilswarm Ouroboros
Swap Cleric | Saryuja Skull Dread
Kagemucha Knight | Number 49: Fortune Tune
