Flare Resonator | Powerful Rebirth
Dark Magician | Eternal Soul
Artifact Scythe | Artifact Sanctum
Clock Wyvern | Cyberse Beacon
Evilswarm Mandragora | Defense Draw
Junk Synchron | Spirit Force
Goblindbergh | Drowning Mirror Force
Tin Goldfish | Heavy Storm Duster
Performapal Five-Rainbow Magician | Scrap Iron Scarecrow
Performage Mirror Conductor | Prideful Roar
Stone Statue of the Aztecs | Reverse Glasses
Reflect Bounder | Dimension Reflector
Sonic Chick | Scramble Egg
Cockadoodledoo | Delay of Game
Tanngrisnir of the Nordic Beasts | The Golden Apples
Backlinker | Red Reboot
