Mask Change II | Masked Hero Dark Law
Instant Fusion | Sea Monster of Theseus
Synchro Cracker | Clear Wing Synchro Dragon
Cynet Storm | Encode Talker
De-synchro | Iron Chain Dragon
Twin Twisters | Trishula, Dragon of the Ice Barrier
Spool Code | Bellcat Fighter
World Legacy Succession | Topologic Bomber Dragon
Xyz Override | Dark Rebellion Xyz Dragon
Mage Power | Number 82: Heartlandraco
Creature Swap | Number 30: Acid Golem of Destruction
Card Rotator | Hi-Speedroid Puzzle
Exchange | Evilswarm Exciton Knight
Fire Formation - Gyokkou | Chronomaly Crystal Chrononaut
Double Spell | Diamond Dire Wolf
Pot of Indulgence | Gem-Knight Pearl
