Synchro Call | Hot Red Dragon Archfiend
Revival Gift | Red Dragon Archfiend
King's Synchro | Red Dragon Archfiend Scarlight
Traptrix Trap Hole Nightmare | Traptrix Rafflesia
Xyz Reborn | Number 39: Utopia
Recoded Alive | Transcode Talker
Pinpoint Guard | Castel the Skyblaster Musketeer
Descending Lost Star | Ally of Justice Catastor
Double Dragon Descent | Number 100: Numeron Dragon
Cynet Conflict | Decode Talker
Reject Reborn | Red Wyvern
Limit Code | Code Talker
Mirror Force | Knightmare Gryphon
Wicked Rebirth | Black Rose Dragon
Power Frame | Cairngorgon, Antiluminescent Knight
Graverobber | Number 41: Bagooska The Terribly Tired Tapir
Defenders Intersect | Number 52: Diamond Crab King
Half or Nothing | Number 106: Giant Hand
Give and Take | Leo, the Keeper of the Sacred Tree
